readname	contig	position	leader_start	adapter_start	polya_start	transcript_start	read_rate	polya_length	qc_tag
8568053e-3878-4da6-b319-19e453071a55	SPAC1071.10c	3366	2.0	10.0	5758.0	6678.0	120.48	31.76	SUFFCLIP
04577692-2512-4067-9619-e8703a06489c	SPAC1F7.13c	140	2.0	3.0	6785.0	7391.0	120.48	19.20	SUFFCLIP
bf5b8abc-71c5-4b9d-b46a-7d213cf43ddc	SPAC11G7.04	85	2.0	3.0	5587.0	6113.0	125.50	16.87	SUFFCLIP
04f2635e-d2ba-4b7a-bb34-997644b283ba	SPAC1F7.13c	139	2.0	3.0	21908.0	23656.0	83.67	43.53	ADAPTER
e90ca4fd-ab9f-400b-a1cc-8417e3b56add	SPAC1F7.13c	140	2.0	3.0	6737.0	7462.0	115.85	22.85	SUFFCLIP
6a037c5e-063e-4c49-a299-3e198c541a6e	SPAC1071.10c	2585	629.0	637.0	6456.0	8035.0	103.86	49.41	SUFFCLIP
a6ae6c4e-d6e4-4b1e-9aec-ec9807985d56	SPAC1805.13	386	2.0	3.0	4916.0	9297.0	120.48	170.20	SUFFCLIP
4ac8eca7-a3b3-40ed-b1f8-7ab2458a5c8c	SPAC1F7.13c	506	2.0	3.0	8630.0	10000.0	115.85	47.65	ADAPTER
4a7a1102-54a3-4685-856e-1e96dcb0ebee	SPAC17A2.13c	1554	2.0	7.0	4602.0	5756.0	120.48	41.12	PASS
e12b43c3-b545-4e2e-b712-0dd49bc9c856	SPAC1805.13	386	2.0	3.0	5153.0	5883.0	120.48	24.16	PASS
0eb11b2e-4659-4252-be0e-06952f33dd29	SPAC1F7.13c	140	2.0	3.0	5934.0	9961.0	107.57	138.79	SUFFCLIP
541bf241-0cfe-4857-9a17-efb68de8198e	SPAC1F7.13c	209	2.0	3.0	5550.0	6038.0	115.85	13.73	SUFFCLIP
0c4940ea-3895-427c-908d-c71e1f616329	SPAC1071.10c	1854	2.0	3.0	6968.0	7952.0	120.48	34.32	SUFFCLIP
c44ffbec-4d03-4cb3-8ad4-eaee489ee652	SPAC1071.10c	1854	2.0	3.0	12463.0	13649.0	111.56	38.89	ADAPTER
fbb7649c-4b9e-4d77-aecf-0ea3e5c5404d	SPAC1071.10c	3250	516.0	1020.0	6348.0	7756.0	115.85	49.12	SUFFCLIP
bc83e8d9-5ef9-4bf1-9613-c729b6301372	SPAC1F7.13c	140	2.0	3.0	11303.0	12744.0	71.71	29.29	SUFFCLIP
e16367fd-f940-4b51-8545-eb994e0a6bfa	SPAC10F6.01c	2870	2.0	3.0	4614.0	5783.0	120.48	41.72	PASS
794881f7-e42d-42b9-9edd-175cb119ab7c	SPAC1002.18	1074	2.0	3.0	5780.0	6306.0	120.48	16.00	PASS
a1eb57be-ac98-4c01-a9bb-04dd06c58538	SPAC1F7.13c	587	242.0	424.0	4134.0	4306.0	136.91	2.77	NOREGION
8291604e-e578-4c97-9e96-2458978e6590	SPAC1F7.13c	587	2.0	3.0	6351.0	6750.0	130.96	12.30	SUFFCLIP
02bdb8c4-3ff6-4931-a313-97704a8307a7	SPAC227.18	713	2.0	3.0	7468.0	8284.0	125.50	28.96	ADAPTER
6102246e-c9dd-4eb3-b8cd-b3a56a0ead3f	SPAC1250.05	625	2.0	3.0	5747.0	6653.0	120.48	31.20	PASS
ebbfa55d-07a4-4edf-a2a8-d1d019fae572	SPAC1565.08	939	2.0	3.0	8524.0	9479.0	111.56	30.33	ADAPTER
b7dd3a01-73d2-423a-85ff-39589d94f908	SPAC1F7.13c	536	2.0	3.0	4767.0	5086.0	130.96	8.83	SUFFCLIP
d9b93484-b48f-4696-a242-7bda4562c868	SPAC227.18	156	2.0	3.0	7428.0	8225.0	143.43	32.90	ADAPTER
32ff9581-1193-41e6-a44b-c6efe2fccd0b	SPAC23A1.10	59	2.0	3.0	9734.0	11087.0	86.06	33.63	SUFFCLIP
e3747bbd-0a9b-470b-80fa-6bface0458e2	SPAC22A12.04c	264	2.0	3.0	6748.0	7371.0	130.96	22.04	PASS
ee990101-0376-477e-b73e-0ee4455f34b4	SPAC1F7.13c	587	2.0	3.0	5775.0	6231.0	125.50	13.96	SUFFCLIP
