readname	contig	position	leader_start	adapter_start	polya_start	transcript_start	read_rate	polya_length	qc_tag
cd134495-c53f-49c7-a2df-7920c0b2c47b	SPAC1F7.13c	139	2.0	3.0	7812.0	8771.0	97.16	25.90	SUFFCLIP
4dcbe1c1-c6ac-4802-8de6-b61b94513ba1	SPAC1F7.13c	374	2.0	3.0	10719.0	11663.0	115.85	31.27	ADAPTER
e4c3f8b0-467f-4b1e-b4a8-a3d268843df1	SPAC1F7.13c	140	266.0	449.0	5788.0	6501.0	88.59	15.94	SUFFCLIP
6ea385c8-758b-48da-9d4f-fe6304cac13e	SPAC1F7.13c	140	2.0	3.0	3644.0	4682.0	115.85	34.88	SUFFCLIP
72b622a0-4856-42f9-89bd-564962466577	SPAC23A1.10	284	2.0	3.0	5417.0	6359.0	111.56	29.85	SUFFCLIP
93571938-5715-4a04-b06a-c6aef50d5ba9	SPAC23A1.10	58	2.0	3.0	5814.0	6260.0	130.96	14.35	SUFFCLIP
e600af74-6ce4-49c7-845c-3ce23008b2e5	SPAC23A1.10	326	2.0	3.0	5070.0	6076.0	120.48	35.20	PASS
9c5c2530-9059-4a5d-8035-c5aa9fe9fff4	SPAC23A1.10	566	3.0	22.0	5013.0	6304.0	111.56	42.78	SUFFCLIP
a427cadd-1dc4-40f3-90e7-b8867b1e27c8	SPAC23A1.10	364	2.0	3.0	8508.0	9569.0	97.16	29.19	SUFFCLIP
5d1fdad0-e80c-4bc3-b476-46fc98167723	SPAC23A1.10	628	2.0	3.0	3341.0	3664.0	130.96	9.00	SUFFCLIP
19267530-3444-449f-af7b-8b548447faac	SPAC23A1.10	64	2.0	3.0	7448.0	8238.0	103.86	22.21	SUFFCLIP
bc29c336-b883-46b8-9c3e-a02e8fd0f61b	SPAC1F7.13c	140	2.0	3.0	11546.0	12320.0	88.59	17.74	ADAPTER
c4bb26d8-983e-4a18-b3f6-de0d3ba16038	SPAC1F7.13c	271	2.0	3.0	6527.0	7144.0	115.85	18.69	SUFFCLIP
cb3375e1-3f0c-4f15-972c-04852fc741a1	SPAC1071.10c	1950	2.0	907.0	7770.0	9437.0	125.50	64.42	SUFFCLIP
eab6df66-c890-4ce1-8c7e-1be36c4c19be	SPAC23A1.10	198	2.0	3.0	4295.0	4743.0	125.50	13.62	PASS
18587871-2089-4c79-a053-b8f49248f457	SPAC1F7.13c	140	2.0	3.0	3462.0	4298.0	125.50	29.79	SUFFCLIP
171555b2-fb04-448b-ae92-184cca9e59de	SPAC23A1.10	244	2.0	3.0	5186.0	6894.0	120.48	63.28	SUFFCLIP
bda89cfe-3b6f-486d-acbe-86be8dfb0de1	SPAC23A1.10	91	2.0	3.0	4886.0	5634.0	111.56	22.67	SUFFCLIP
e5fb26b1-dc11-4e0b-a340-3f7733bd3b86	SPAC23A1.10	68	2.0	3.0	7474.0	8674.0	97.16	33.68	SUFFCLIP
d22c37aa-3e83-4b2a-b88a-a0283f858197	SPAC23A1.10	59	2.0	3.0	7835.0	8355.0	120.48	15.76	ADAPTER
59317dce-4bea-47b7-8e01-f5cf087bba05	SPAC23A1.10	808	101.0	237.0	3797.0	4070.0	103.86	4.38	PASS
f3e0441d-f274-4879-bc23-bcb19d6be8b3	SPAC23A1.10	706	2.0	3.0	6934.0	7637.0	111.56	21.00	SUFFCLIP
465838c1-9b34-4ac4-a502-74bf2c64e4d4	SPAC2C4.16c	167	2.0	3.0	5609.0	6946.0	103.86	41.07	PASS
adbb4e92-2464-4110-84e3-b7f78e678dd0	SPAC4H3.10c	184	2.0	3.0	9727.0	10919.0	115.85	40.81	ADAPTER
1c986f3e-2bd0-4456-8023-75caf0a6cf6c	SPAC328.10c	482	3.0	4.0	5330.0	6747.0	120.48	51.64	PASS
2029d431-5941-48a1-afc1-388f3fca36c6	SPAC328.10c	482	660.0	1041.0	7049.0	7892.0	100.40	23.07	PASS
024ebde0-eb98-472e-9e67-90c2532ed43c	SPAC328.10c	482	2.0	3.0	9041.0	9548.0	115.85	14.46	ADAPTER
35cb2d0e-7b78-4e97-a652-3186b92666b7	SPAC328.10c	482	2.0	3.0	5111.0	5584.0	120.48	13.88	PASS
6cfedf91-049d-4cc9-ac6d-ff35646e7f95	SPAC4H3.10c	250	2.0	3.0	6650.0	7978.0	107.57	42.39	SUFFCLIP
ef3d4d15-810c-43ab-adec-98b0c037f19d	SPAC4H3.10c	250	2.0	3.0	6221.0	6850.0	125.50	21.17	SUFFCLIP
230b24ea-3cf6-49f7-b1c7-b3254b17d565	SPAC23A1.10	695	2.0	3.0	7255.0	7712.0	120.48	13.24	SUFFCLIP
75b33c6e-8b7f-4059-99a9-af936d228c5b	SPAC4H3.10c	250	565.0	1100.0	8798.0	10171.0	107.57	44.00	SUFFCLIP
7dcb1337-988b-4818-9dec-529147e48e0b	SPAC513.01c	104	-1.0	-1.0	-1.0	-1.0	-1.00	-1.00	READ_FAILED_LOAD
b3b5833c-70a6-475e-990c-95e853c21b95	SPAC4H3.10c	488	271.0	1308.0	15931.0	21816.0	120.48	230.36	ADAPTER
ab98078f-b4af-466f-9a8b-b62649cb4ebf	SPAC513.01c	978	2.0	3.0	6747.0	7526.0	115.85	24.92	SUFFCLIP
c5a414bb-1e13-4be2-b94c-e5631e4cbad0	SPAC513.01c	281	2.0	3.0	4832.0	6544.0	125.50	66.29	SUFFCLIP
7194de6f-67a0-4acf-a8a2-fbc8f5957e9d	SPAC6G10.11c	60	85.0	169.0	5349.0	8058.0	120.48	103.32	SUFFCLIP
c1a4018d-76b0-4721-8add-a61ec0cf021f	SPAC589.10c	42	69.0	182.0	5721.0	6314.0	111.56	16.93	SUFFCLIP
77438693-fb6d-428f-a298-cd2ae39f6d3e	SPAC4H3.10c	497	2.0	3.0	7178.0	7692.0	115.85	14.73	SUFFCLIP
896b45d2-5118-4160-887c-002048b06fa1	SPAC6G10.11c	80	2.0	3.0	6983.0	10611.0	73.46	83.46	SUFFCLIP
5b5247ff-167e-439d-8f1e-b7dbf0f8edb1	SPAC4H3.10c	250	2.0	3.0	6211.0	6577.0	115.85	9.04	SUFFCLIP
cd7ae469-c85f-43ee-b65a-aa8fd39bf44b	SPBC14F5.04c	739	2.0	3.0	4518.0	5263.0	130.96	27.35	SUFFCLIP
64e4196f-df02-4ea6-aff0-9b02191a06fd	SPAC8E11.02c	1230	2.0	3.0	5378.0	6168.0	120.48	26.56	PASS
5b067173-6192-467d-9e70-25a02d6b3e50	SPAC6G10.11c	87	2.0	3.0	7357.0	8096.0	120.48	24.52	SUFFCLIP
c4d6d7fb-dec1-4fa6-b646-8cda77f0be0a	SPBC106.16	990	341.0	661.0	5822.0	6646.0	130.96	30.78	PASS
06129f15-82bd-4be0-b6fd-a0ba470ad7c6	SPAC6G10.11c	87	2.0	3.0	7008.0	7518.0	115.85	14.58	SUFFCLIP
225eec23-d3fb-462e-9853-d8d18f93ad1c	SPAC6G10.11c	87	2.0	3.0	4320.0	4971.0	115.85	20.00	SUFFCLIP
852da044-5256-4981-9492-2822e845f57a	SPAC8C9.08	446	2.0	3.0	5354.0	6162.0	120.48	27.28	SUFFCLIP
0baf5d8d-b04a-40a8-89dc-474fea53635d	SPAC6G10.11c	62	2.0	3.0	7451.0	8440.0	125.50	36.17	ADAPTER
101ed815-a1e2-4083-8d84-fd3774bb6117	SPAC6G10.11c	107	2.0	3.0	7326.0	8078.0	100.40	20.03	SUFFCLIP
a3839014-8478-4f4d-8b69-9329761f2182	SPBC1815.01	109	3.0	4.0	4826.0	5327.0	111.56	13.52	SUFFCLIP
32cc6f21-135f-4241-a76a-eca4384e1821	SPAC926.04c	512	2.0	3.0	5762.0	5996.0	125.50	4.71	SUFFCLIP
e1421443-9b50-45f0-b706-8f54b41e297b	SPBC14F5.04c	712	2.0	3.0	8756.0	10111.0	120.48	49.16	ADAPTER
a101d95b-30f8-40af-929b-c7a1359c378f	SPBC14F5.04c	605	2.0	3.0	11259.0	12854.0	86.06	40.54	ADAPTER
2bf0d2bf-3931-4096-a1f6-98c5e0994e59	SPBC14F5.04c	712	2.0	3.0	6022.0	6551.0	120.48	16.12	SUFFCLIP
b1a7f62b-f996-4b15-b134-2ab680ca0ab2	SPBC1815.01	186	2.0	3.0	5920.0	6735.0	115.85	26.31	SUFFCLIP
175929f3-8a10-4aaf-929e-f17000de5e72	SPBC1815.01	109	2.0	3.0	4291.0	5412.0	120.48	39.80	SUFFCLIP
bf7e3caf-31e8-4754-a57a-28907f9cc046	SPBC16G5.05c	999	2.0	3.0	12699.0	13335.0	111.56	18.52	ADAPTER
2531e021-19f1-4971-8279-af7705f84b77	SPBC1709.05	1410	2.0	3.0	6550.0	6934.0	103.86	8.21	SUFFCLIP
8026f01c-4992-4cc3-8110-ed28415af142	SPBC14F5.04c	712	146.0	356.0	5464.0	6068.0	125.50	20.12	SUFFCLIP
c6bdba3c-bfdb-4550-9580-4c6996ee8e1e	SPBC1815.01	111	2.0	3.0	16674.0	18341.0	83.67	41.28	ADAPTER
a7dad044-f596-4409-a523-5789eb7d78f0	SPBC18E5.04	236	3.0	4.0	5903.0	7030.0	107.57	35.21	PASS
880325d8-4ced-410c-818d-229bf4c15140	SPBC32F12.11	118	338.0	619.0	9621.0	10227.0	103.86	15.86	ADAPTER
