readname	contig	position	leader_start	adapter_start	polya_start	transcript_start	read_rate	polya_length	qc_tag
7ae79b55-b589-4497-b0fc-5fae1d28788b	YDR214W_mRNA	881	337.0	642.0	5208.0	6918.0	120.48	63.36	PASS
07bf3a61-a032-468b-9bce-d62a960e24df	YJR009C_mRNA	660	2.0	3.0	2655.0	3627.0	136.91	39.14	SUFFCLIP
bcfca0bb-1023-4076-8e81-c046606101ef	YGR182C_mRNA	0	290.0	1245.0	9946.0	11057.0	111.56	36.11	ADAPTER
96664dd0-02a7-46ef-96e9-67d88d902bc7	YAL003W_mRNA	0	2.0	3.0	3074.0	3759.0	150.60	29.20	SUFFCLIP
562a5000-00e7-44a2-9233-e6f54ac32673	YDR050C_mRNA	243	2.0	3.0	12630.0	14942.0	100.40	72.03	ADAPTER
4cbd0a7c-2606-49d0-aec3-0f56ec160baa	YJR009C_mRNA	465	178.0	800.0	5096.0	6617.0	86.06	38.43	SUFFCLIP
846ed00f-29d0-48a2-acac-6390bb780d27	YNL246W_mRNA	51	2.0	3.0	7664.0	8194.0	97.16	12.06	SUFFCLIP
1b5bd09d-35d8-4cf5-8b34-efd9d5577d57	YCR011C_mRNA	2141	222.0	536.0	6124.0	6800.0	115.85	20.96	PASS
21ce4fda-b76f-4414-a3c3-61ab541a7394	YAL023C_mRNA	832	2.0	3.0	3536.0	4610.0	125.50	39.71	SUFFCLIP
52f4dc14-754a-4a48-887e-14aa9c70a773	YDR077W_mRNA	509	2.0	241.0	2291.0	3353.0	136.91	43.23	SUFFCLIP
1829b825-8a8c-4f6b-9abf-92c91fbe97b5	YKL180W_mRNA	0	2.0	3.0	6902.0	7534.0	115.85	19.27	PASS
9eeee8ea-bcc0-4b03-b069-f491dedeb2e2	YOL120C_mRNA	77	2.0	85.0	5211.0	6093.0	94.12	22.53	PASS
a7e3a449-2f8f-4c54-8f6f-b0c0b1656c0c	YJR009C_mRNA	559	2.0	3.0	5956.0	6975.0	88.59	24.94	SUFFCLIP
9a69b39e-0586-4c45-b224-d95570c330a4	YOL120C_mRNA	0	2.0	3.0	14269.0	15481.0	94.12	32.84	ADAPTER
b907bdbb-ca1d-45ed-a96b-f1234aa78d1f	YLR247C_mRNA	2052	2.0	3.0	3737.0	5039.0	136.91	54.14	SUFFCLIP
